location,id,price,description,year
HAMRUN,700439,€260000,"Highly finished corner PENTHOUSE served with lift, comprising a fitted kitchen/living/ dining, 3 bedrooms, bathroom, ensuite, washroom and a huge front terrace. Property is being sold including airspace. EPC in progress.",2019
SWIEQI,2002590,€430000," New on the market designer finished and fully furnished 3 bedrooms APARTMENT, served with lift, located in a quiet area of Swieqi yet close to all amenities and walking distance to St Julians. Consists of a separate kitchen/ dining, large living with a 6 seater sofa and access to a good size front balcony, 3 bedrooms and bathrooms. Freehold. Must be seen. EPC in progress.",2019
VITTORIOSA,2002588,€595000," A superb sea front designer finished third floor APARTMENT, served with lift and is being sold furnished. Layout comprises an open plan kitchen/ living/dining enjoying marvelous unobstructed marina views, bathroom, 3 bedrooms and ensuite. Property is fully air conditioned and freehold. EPC in progress.",2019
SLIEMA,2002547,€440000," Very large fully furnished APARTMENT (approx of 230sqm) that can be split into 3 units in the heart of Sliema. Upon entering on the right hand side there are a formal living and dining with front balcony and spare bathroom. On the left hand side there are the sleeping quarters with 3 bedrooms, balcony, study, bathroom and a corner kitchen/dining with lots of natural light and distant sea views of the Marina. Property also has washroom and own part of roof. Freehold. EPC in progress.",2019
ST PAULS BAY,2002394,€480000," A luxurious seafront APARTMENT situated in a sought after area of St.Paul's Bay and is being sold fully furnished. Accommodation consists of a large open plan kitchen/living/dining, bedrooms, ensuite and bathroom. Must be seen. EPC in progress. Owners Best Office 2149 2299 7949 2299",2019
BALZAN,700429,€290000,"Very well kept first floor APARTMENT, measuring 166sqm, in a block of only 4. Accommodation consists of a fitted kitchen/dining, living, boxroom, 4 bedrooms, bathroom, ensuite, washroom and part of roof. Property is being sold fully furnished and including 10 photo-voltaic panels. EPC in progress.",2019
BUGIBBA,2002709,€270000," New on the market, large, double bedroom APARTMENT (130sqm) served with lift, ready to move into, set in prime location, close to the Bugibba square, and minute away from seafront. Having double glazed apertures, a 9 meter long open plan fully equipped modern kitchen/ living/dining, 2 spacious bathrooms, study, back terrace and a front balcony. Fully accessible to wheelchairs and pushchairs. EPC in progress.",2019
ATTARD,700464,€260000,"Very well kept second floor APARTMENT, being offered fully furnished including 2 AC's and served with lift in a block of only 3. Accommodation consists of an entrance hall, fitted kitchen/living/ dining, 3 bedrooms, bathroom, ensuite, front balcony and a back balcony. EPC in progress.",2019
BALZAN,2002555,€280000," A second floor APARTMENT measuring approx. 120sqm situated close to all amenities. Comprises of a lounge/ dining, separate kitchen, bathroom, 2 bedrooms and a study room which can be turned into a third bedroom. Property is to be sold furnished including 2 AC's. EPC in progress.",2019
LIJA,2002653,€386500," Luxury finished first floor APARTMENT (153sqm) in a block of 4 served with lift, located in the quaint village of Lija. Comprising a spacious open plan kitchen/living /dining with fireplace, 3 bedrooms, 3 bathrooms, washroom, a good sized internal yard, 2 back balconies enjoying gardens in village core. Included in price is a brand new kitchen with new appliances, 6 dining chairs and 6 seater sofa. EPC in progress. Owners Best Office 2149 2299 7949 2299",2019
ATTARD,2002671,€350000," A large APARTMENT (approx 192sqm) forming part of a block of only 2 being sold highly finished and almost fully furnished. Comprising a large open plan fitted kitchen/living/dining, 3 bedrooms, ensuite, bathroom, washroom and a large backyard. It is situated in a nice area and close to all amenities. Freehold. EPC in progress.",2019
BIRGUMA,2002664,€320000," A corner APARTMENT with 1 car garage in sought after area of Birguma, Naxxar. Consists of an entry to a small corridor, leading onto 3 spacious bedrooms, ensuite, bright and naturally lit open plan kitchen/living/dining and bathroom. Surrounding this apartment are 3 balconies. Freehold. EPC in progress.",2019
BIRKIRKARA,700472,€260000,"Very well kept first floor APARTMENT, served with lift and situated in a nice area. Accommodation consists of an entrance hall, fitted kitchen/breakfast, lounge/dining, 3 bedrooms, bathroom, ensuite, front and back balconies and use of roof. EPC in progress.",2019
COSPICUA,2002608,€190000," First floor squarish layout corner APARTMENT being sold furnished. Comprising a large living area, separate kitchen/dining, terrace, bathroom, boxroom, 2 double bedrooms and use of roof. Being sold with solid internal doors and solar water heater. Freehold. EPC in progress.",2019
GZIRA,700447,€230000,"Corner, newly refurbished first floor APARTMENT measuring 121sqm, being sold fully furnished in a block of only 4. Accommodation consists of a kitchen/living/dining, 3 bedrooms, bathroom, 2 front balconies and use of roof. EPC in progress.",2019
KALKARA,2002649,€335000," An APARTMENT fully furnished and fully finished, situated in a nice and central area of Kalkara. Comprises an open plan kitchen/living/dining leading to a front corner balcony with new kitchen included, 3 bedrooms, bathroom, boxroom, yard for drying, ensuite and a second balcony. EPC in progress.",2019
KERCEM - GOZO,700435,€95000,"Ready built first floor APARTMENT being sold in shell form and served with lift. Consists of a kitchen/living/dining, bathroom, boxroom, 2 bedrooms ensuite, walk-in wardrobe and terrace. A car space is included in the price. EPC in progress.",2019
MARSASCALA,2002660,€286000," A larger than usual brand new fully furnished 3 bedrooms APARTMENT situated in a quiet area of Marsascala. Comprises an open plan kitchen/living/dining leading to a front balcony, combined kitchen with new appliances, fully air conditioned, bathroom, 3 bedrooms, ensuite and a back balcony. EPC in progress.",2019
MOSTA,700441,€250000,"Nicely finished second floor APARTMENT, in a block of only 2 with no l and located in a very nice area. Accommodation consists of an open pla kitchen/living/dining, 2 bedrooms, bathroom, ensuite, washroom and part of rod EPC in progress. Owners Best Office 2149 2299 7949 2299",2019
MARSASCALA,2002373,€228000," A spacious finished APARTMENT situated within walking distance from St Thomas Bay and close to all amenities. The property comprises a combined kitchen/ living/dining area leading onto a front balcony, 3 bedrooms, ensuite, bathroom, washroom and a back balcony. This property would be ideal as a residence or as a rental investment. Freehold. EPC rating: 177kWh/m2.yr.",2019
MARSASCALA,2002654,€270000,"APARTMENT in Marsascala enjoying beautiful views. Consists of an open plan kitchen/living/dining, 2 bedrooms, en-suite, bathroom, front balcony/terrace, air conditioning in all rooms and brand new fully equipped kitchen with appliances, main bedroom and spare bedroom furniture with mattresses, dining table, 6 chairs, tv unit and sofa. Ideal for both family home or rental investment. Freehold. EPC in progress.",2019
MSIDA,2002686,€296600," Ready built 3 bedrooms APARTMENT fully furnished measuring 151sqm in Msida and finished to high standards including bathrooms and doors. Consists of a large open plan kitchen/living/dining leading to a front balcony, 3 bedrooms, ensuite, bathroom, laundry room and back balcony. Freehold. EPC in progress.",2019
