location,price,year,type,garage,balcony,roof,garden,bedrooms,avg_price_year_type
xghajra,256000,2016,HOUSE,TRUE,TRUE,TRUE,FALSE,3,183903.7879
swieqi,365000,2016,HOUSE,TRUE,FALSE,FALSE,FALSE,3,183903.7879
qormi,300000,2016,HOUSE,TRUE,FALSE,TRUE,TRUE,2,183903.7879
msida,186300,2016,HOUSE,FALSE,TRUE,TRUE,FALSE,3,183903.7879
san gwann,210000,2016,HOUSE,FALSE,TRUE,TRUE,FALSE,3,183903.7879
kappara,617000,2016,VILLA,TRUE,FALSE,FALSE,TRUE,4,617000
cospicua,233000,2016,HOUSE,FALSE,TRUE,TRUE,FALSE,3,183903.7879
fgura,163000,2016,HOUSE,FALSE,FALSE,TRUE,TRUE,3,183903.7879
attard,280000,2016,HOUSE,TRUE,FALSE,TRUE,FALSE,3,183903.7879
zejtun,84000,2016,HOUSE,TRUE,FALSE,TRUE,FALSE,1,183903.7879
mellieha,291500,2016,HOUSE,TRUE,FALSE,TRUE,FALSE,3,183903.7879
mellieha,408000,2016,HOUSE,TRUE,TRUE,TRUE,FALSE,4,183903.7879
zabbar,163000,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,2,183903.7879
rabat,245000,2016,HOUSE,TRUE,FALSE,TRUE,FALSE,3,183903.7879
qormi,268000,2016,HOUSE,TRUE,FALSE,TRUE,FALSE,3,183903.7879
naxxar,375000,2016,HOUSE,TRUE,FALSE,TRUE,FALSE,3,183903.7879
st venera,268000,2016,HOUSE,TRUE,FALSE,TRUE,FALSE,3,183903.7879
birkirkara,200000,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,3,183903.7879
cospicua,140000,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,3,183903.7879
cospicua,128000,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,2,183903.7879
cospicua,105000,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,3,183903.7879
kirkop,80000,2016,HOUSE,FALSE,TRUE,TRUE,FALSE,3,183903.7879
qrendi,186000,2016,HOUSE,TRUE,FALSE,TRUE,FALSE,2,183903.7879
senglea,209500,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,4,183903.7879
senglea,75000,2016,HOUSE,FALSE,TRUE,TRUE,FALSE,2,183903.7879
st venera,140000,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,3,183903.7879
rabat,361000,2016,HOUSE,FALSE,FALSE,TRUE,TRUE,3,183903.7879
zebbug,169000,2016,HOUSE,TRUE,FALSE,TRUE,FALSE,1,183903.7879
tarxien,60500,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,3,183903.7879
tarxien,135000,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,2,183903.7879
zabbar,280000,2016,HOUSE,FALSE,FALSE,TRUE,TRUE,3,183903.7879
zurrieq,186500,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,4,183903.7879
birkirkara,116400,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,2,183903.7879
birkirkara,100000,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,2,183903.7879
birkirkara,90000,2016,HOUSE,TRUE,TRUE,TRUE,TRUE,3,183903.7879
birzebbugia,146750,2016,HOUSE,FALSE,TRUE,TRUE,FALSE,3,183903.7879
cospicua,130000,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,3,183903.7879
dingli,221500,2016,HOUSE,TRUE,TRUE,TRUE,FALSE,4,183903.7879
gharghur,139500,2016,HOUSE,FALSE,FALSE,TRUE,FALSE,2,183903.7879
